,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,inf
1683273780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683273840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683273900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,9,9,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683273960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,128,25,10,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,190,33,12,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,47,259,36,13,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,62,343,43,13,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,80,406,46,13,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,91,484,56,15,4,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,96,562,66,16,5,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,101,619,79,16,5,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,101,619,79,16,5,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683274500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,101,619,79,16,5,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
