,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,inf
1683275340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,11,7,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,42,25,24,11,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,21,8,90,55,28,12,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,31,20,149,58,30,12,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,42,31,214,63,30,12,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,58,55,37,261,73,37,13,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,76,63,48,305,88,40,13,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,80,73,57,365,113,46,14,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,92,86,64,415,123,53,15,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,100,97,73,468,142,57,15,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,103,100,76,478,142,57,15,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683276060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,103,100,76,478,142,57,15,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683276120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,103,100,76,478,142,57,15,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
