,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,inf
1683275340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275400,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275460,0,0,0,2,1,1,0,0,1,0,5,4,10,7,3,3,5,5,8,37,10,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275520,0,0,0,3,3,3,0,0,1,2,11,14,23,14,8,10,19,9,16,58,14,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275580,0,0,0,5,6,3,1,0,1,5,16,31,43,22,21,23,26,14,20,63,14,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275640,0,0,0,7,10,4,4,1,1,8,20,51,64,30,34,36,30,20,22,70,14,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275700,0,0,0,10,14,4,6,1,2,8,25,69,78,39,42,41,34,22,36,83,14,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275760,0,0,0,12,19,7,6,1,2,9,28,80,94,54,48,48,41,28,40,91,16,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275820,0,0,0,14,21,8,7,1,2,9,35,93,109,57,59,57,53,35,48,115,17,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275880,0,0,0,17,25,11,7,4,2,9,39,110,118,71,70,64,56,38,49,132,19,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683275940,0,0,0,22,27,12,8,4,2,9,41,126,131,83,75,73,64,41,56,155,20,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683276000,0,0,0,23,30,13,9,4,2,9,43,138,139,87,78,75,64,41,56,158,20,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683276060,0,0,0,23,30,13,9,4,2,9,43,138,139,87,78,75,64,41,56,158,20,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683276120,0,0,0,23,30,13,9,4,2,9,43,138,139,87,78,75,64,41,56,158,20,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
