,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,110.0,120.0,inf
1685359260,0,0,0,0,0,0,0,0,0,0,4,863,511,148,93,66,66,49,41,122,30,26,16,9,10,18,10,18,35,19,18,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,2,3,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359380,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359440,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,2,2,1,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359500,0,0,0,0,0,0,0,0,0,0,0,8,1,2,6,4,2,2,1,16,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359560,0,0,0,0,0,0,0,0,0,0,0,9,2,7,7,5,2,2,1,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359620,0,0,0,0,0,0,0,0,0,0,0,9,2,7,7,5,2,2,1,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359680,0,0,0,0,0,0,0,0,0,0,0,9,2,7,7,5,2,2,1,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359740,0,0,0,0,0,0,0,0,0,0,0,9,2,7,7,5,2,2,1,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359800,0,0,0,0,0,0,0,0,0,0,0,9,2,7,7,5,2,2,1,18,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359860,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,6,1,4,2,20,6,3,1,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359920,0,0,0,0,0,0,0,0,0,0,4,867,520,151,98,69,69,51,43,136,35,30,19,11,13,19,12,18,48,40,26,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1685359980,0,0,0,0,0,0,0,0,0,0,4,867,520,151,98,69,69,51,43,136,35,30,19,11,13,19,12,18,48,40,26,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1685360040,0,0,0,0,0,0,0,0,0,0,4,867,520,151,98,69,69,51,43,136,35,30,19,11,13,19,12,18,48,40,26,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1685360100,0,0,0,0,0,0,0,0,0,0,4,867,520,151,98,69,69,51,43,136,35,30,19,11,13,19,12,18,48,40,26,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1685360160,0,0,0,0,0,0,0,0,0,0,4,867,520,151,98,69,69,51,43,136,35,30,19,11,13,19,12,18,48,40,26,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1685360220,0,0,0,0,0,0,0,0,0,0,4,867,520,151,98,69,69,51,43,136,35,30,19,11,13,19,12,18,48,40,26,5,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
